-640.308891,-113.864103
-631.572261,-148.911121
-629.685414,-164.624769
-622.586519,-166.263130
-607.555153,-129.874917
-592.916388,-157.244991
-591.941754,-165.609664
-582.915297,-151.497791
-573.615487,-200.819262
-551.875088,-160.307847
-562.359102,-210.754821
-534.164171,-153.316190
-537.600714,-160.738101
-538.018490,-184.771896
-563.503625,-279.574692
-516.167409,-148.655130
-519.776629,-168.714776
-507.309955,-163.222250
-510.707613,-164.167813
-500.877680,-165.631376
-535.173925,-256.488769
-492.780538,-159.041567
-492.056044,-165.148880
-484.166224,-155.673778
-463.409881,-135.643859
-471.753978,-162.258023
-610.550611,-522.695570
-372.060317,-101.851851
-376.140240,-183.830871
-401.627043,-343.202684
-300.205608,-254.266492
-235.724050,-274.115132
-232.446031,-284.449369
-230.406350,-326.090364
-320.753508,-433.981412
-219.484965,-415.187697
